,Word,Frequency,,,,,
1101,thunder,120,,,,,
1102,forms,119,,,,,
1103,multitud,119,,,,,
1104,groves,119,,,,,
1105,brain,119,,,,,
1106,vicar,119,,,,,
1107,city,119,,,,,
1108,pious,118,,,,,
1109,hapli,118,,,,,
1110,tranquil,118,,,,,
1111,centr,118,,,,,
1112,seren,118,,,,,
1113,books,118,,,,,
1114,hence,118,,,,,
1115,fallen,118,,,,,
1116,wither,118,,,,,
1117,lady,118,,,,,
1118,meadow,118,,,,,
1119,desol,118,,,,,
1120,rememb,118,,,,,
1121,pool,118,,,,,
1122,mansion,117,,,,,
1123,summon,117,,,,,
1124,christian,117,,,,,
1125,desper,117,,,,,
1126,therefore,117,,,,,
1127,ghost,116,,,,,
1128,begin,116,,,,,
1129,hands,115,,,,,
1130,harp,115,,,,,
1131,blame,115,,,,,
1132,profound,115,,,,,
1133,rear,115,,,,,
1134,gloomi,114,,,,,
1135,savag,114,,,,,
1136,lamb,114,,,,,
1137,cherish,114,,,,,
1138,peril,114,,,,,
1139,drink,114,,,,,
1140,privat,113,,,,,
1141,terror,113,,,,,
1142,smoke,113,,,,,
1143,week,113,,,,,
1144,vault,112,,,,,
